id,city,sqft,bedrooms,bathrooms,year_built,lot_size,price
95,Maplewood,932,1,1,2003,9031,149500
96,Lakeview,3547,5,5,1972,9548,721700
97,Maplewood,3172,5,5,2005,10707,425900
98,Springfield,1792,3,2,2009,10336,313100
99,Fairview,3386,6,4,1953,9098,516400
100,Rivertown,2103,3,2,1985,10767,345200
101,Maplewood,2926,3,2,1960,4954,335800
102,Rivertown,3478,6,5,2007,1282,527400
103,Springfield,1855,2,3,1981,6016,252000
104,Fairview,2824,4,4,2020,6419,414200
105,Maplewood,3528,6,4,1989,5118,453900
106,Maplewood,1139,2,2,1977,8933,173800
107,Maplewood,3617,5,3,1974,5853,444900
108,Springfield,3550,5,4,1955,1893,485700
109,Fairview,1846,2,3,1963,1200,231400
110,Lakeview,2045,3,1,1982,8827,363900
111,Springfield,4017,4,4,2012,2213,496500
112,Rivertown,1261,2,1,1981,2940,182400
113,Fairview,3781,6,4,2016,7232,538900
114,Fairview,2406,3,1,1962,4404,330400
115,Rivertown,1733,1,1,1980,3847,241300
116,Lakeview,2495,4,3,1954,4792,433700
117,Maplewood,3545,5,5,1959,4824,477900
118,Fairview,3358,4,4,1964,9922,468400
119,Rivertown,3302,4,3,1968,2169,544300
120,Fairview,3717,5,5,1965,8679,569500
121,Maplewood,3516,6,4,2014,9847,459700
122,Springfield,2419,3,2,1953,2496,306100
123,Rivertown,3411,4,3,2023,1659,535200
124,Fairview,3318,5,4,1973,10590,483300
125,Lakeview,3250,5,3,2010,6700,577800
126,Springfield,4163,6,4,2002,9117,610900
127,Maplewood,3363,5,3,2008,2442,407900
128,Lakeview,4192,5,5,2002,1888,777200
129,Rivertown,2773,4,4,2006,1845,455000
130,Maplewood,2444,4,2,1953,11322,335600
131,Fairview,3923,5,4,1989,10024,618500
132,Rivertown,4096,4,4,1965,11612,651700
133,Rivertown,2691,4,3,2003,8905,474300
134,Fairview,1242,3,2,2015,3236,200400
135,Springfield,1781,3,2,2014,5377,269300
136,Maplewood,4080,6,4,2007,9824,506100
137,Lakeview,2063,3,3,2008,6272,441200
138,Rivertown,2992,5,4,2002,1715,422900
139,Maplewood,3700,6,5,1999,11873,508900
140,Rivertown,2678,3,2,2014,10669,410700
141,Maplewood,1061,2,1,2017,8486,163100
142,Rivertown,956,2,2,1993,11211,194700
143,Lakeview,3311,3,2,2018,7226,639900
144,Lakeview,2866,3,1,1980,11340,501500
145,Maplewood,1581,1,2,1962,11383,200000
146,Rivertown,3492,5,3,1955,6314,527000
147,Springfield,1851,2,2,2005,3385,254100
148,Rivertown,1346,2,1,1998,11153,258100
149,Rivertown,2688,4,3,2009,11451,466200
150,Springfield,3945,6,4,2019,3588,580700
151,Springfield,2459,3,2,2004,5097,323400
152,Lakeview,4145,6,3,1980,7248,751600
153,Fairview,2120,3,2,1952,11784,315200
154,Springfield,3133,5,4,1979,10946,461600
155,Maplewood,1547,2,2,1967,11293,220900
156,Springfield,1915,4,2,1996,3153,286000
157,Springfield,1858,2,3,1972,4289,263000
158,Maplewood,2824,4,3,1982,8894,382100
159,Maplewood,3707,5,3,2009,2233,498400
160,Lakeview,4114,5,3,2000,1228,795000
161,Maplewood,2847,3,3,1997,5295,317700
162,Maplewood,1093,1,2,1953,11150,136700
163,Fairview,1993,3,1,2009,5951,292100
164,Springfield,802,1,2,1964,2592,98100
165,Rivertown,2851,4,4,2008,7078,455400
166,Fairview,2366,3,3,1962,9017,318200
167,Fairview,2321,3,1,1997,4559,283200
168,Maplewood,1056,1,1,1957,7523,131900
169,Maplewood,1427,1,2,1961,11858,189800
170,Springfield,857,1,1,1966,10250,139400
171,Rivertown,931,1,1,1979,6383,151000
172,Fairview,661,1,1,1966,9850,97600
173,Maplewood,3920,5,3,1953,3159,507700
174,Rivertown,3061,4,2,1972,5347,474300
175,Springfield,1169,3,1,1958,8802,164500
176,Fairview,1096,2,2,1955,11795,184300
177,Fairview,1885,4,2,1957,8847,297700
178,Springfield,2658,5,3,1960,6277,353200
179,Fairview,1257,1,1,1985,11228,187100
180,Maplewood,2210,3,3,2014,10919,289300
181,Lakeview,1056,1,1,2005,8398,220200
182,Lakeview,2283,4,2,1990,7992,413700
183,Maplewood,3374,4,3,1969,8770,459500
184,Springfield,2418,2,2,1966,10115,344800
185,Springfield,3052,4,2,2002,6793,466900
186,Lakeview,3603,4,3,1989,6761,573500
187,Springfield,3017,4,3,2011,4674,435900
188,Fairview,2155,2,2,2023,4705,302500
189,Lakeview,4111,4,3,1953,3955,676200
190,Maplewood,2087,2,2,1968,10278,288500
191,Lakeview,935,1,1,1961,9691,176700
192,Maplewood,1294,2,2,1991,10299,196100
193,Fairview,997,1,1,1970,11122,161400
194,Lakeview,3361,5,5,2006,7785,645200
195,Maplewood,1532,1,1,2005,2816,176000
196,Lakeview,2808,4,2,1978,7475,548900
197,Fairview,874,1,1,1988,4460,126600
198,Maplewood,1993,2,1,2013,8055,229800
199,Rivertown,1179,3,2,2014,10154,252500
200,Springfield,2276,2,3,1952,8532,278400
201,Springfield,4181,6,5,2023,7626,595700
202,Springfield,2309,2,2,1971,11127,302600
203,Lakeview,4057,5,3,2005,2734,712200
204,Fairview,972,2,2,1993,4630,167400
205,Maplewood,3841,5,3,2015,11374,525900
206,Maplewood,2088,3,2,1963,3399,257500
207,Maplewood,1458,2,2,1959,3902,184600
208,Lakeview,3740,6,4,1990,3473,657000
209,Lakeview,929,2,3,1988,5500,185300
210,Springfield,1921,4,4,1954,1932,256500
211,Maplewood,4056,5,3,1961,11076,477100
212,Fairview,2920,3,3,2023,11679,438700
213,Rivertown,1966,4,3,1957,8381,364600
214,Maplewood,3575,4,3,1955,5059,454300
215,Lakeview,2449,3,2,1997,5634,404800
216,Fairview,864,1,1,1992,2548,126600
217,Fairview,3428,6,4,1982,11757,574600
218,Rivertown,2015,2,2,1994,6082,314200
219,Lakeview,1178,1,1,2021,7171,224300
220,Rivertown,3394,4,4,2015,6928,532300
221,Springfield,2135,3,2,1977,6598,315100
222,Rivertown,1213,2,1,1987,2657,181300
223,Fairview,3807,4,3,1966,10785,532700
224,Fairview,3963,5,5,1955,7731,585700
225,Maplewood,3420,5,5,1986,8355,446300
226,Lakeview,4070,5,4,2023,8218,787200
227,Lakeview,3801,5,5,2014,9641,699100
228,Rivertown,3931,5,4,1956,11505,641200
229,Lakeview,2170,2,1,1986,2374,358500
230,Fairview,1253,3,1,1978,8391,190500
231,Maplewood,759,2,1,2000,9224,116400
232,Springfield,2185,3,1,1990,2623,299100
233,Maplewood,3891,5,4,1954,5700,497500
234,Rivertown,3758,6,5,1950,2298,563000
235,Springfield,1698,2,2,2020,10975,260100
236,Maplewood,1623,2,1,1956,4906,184400
237,Lakeview,3267,5,3,1964,9189,589300
238,Fairview,3005,4,3,1987,8032,441500
239,Springfield,3168,4,3,2023,7825,472000
240,Fairview,2127,2,1,1999,8702,337400
